review,rating,place_index
"29/11/2021 mình có đặt bên kfc 2 phần cơm gà quay tiêu và 1 combo gồm 2 gà và 1 khoai tây chiên + coktail ổi. Mở ra gói tương ớt thứ 2 thì bị hư có mùi rất lạ, đên phần gà thì thật sự thua ca những quán lề đường, vỏ gà thì mềm nhũng, thịt gà thì nguội lạnh, phần khoai tây chiên thì giống như đê từ luac sáng rồi mới đem giao vậy. Không bao giờ ăn bên KFC nữa, quá thất vọng",1,0
"Gà ngon bổ rẻ",5,0
"Đồ ăn ngon, lần sau sẽ ghé nữa",5,0
"Nóng nực, thái độ của bạn nhân viên áo trắng rất khó chịu",2,0
"Đồ ăn ngon .",5,0
"Khuyên các bạn mua mang về thì nhớ kiểm tra kĩ xem đã đủ chưa trước khi bước ra khỏi cửa hàng, mình mua mang về lần nào cũng bị thiếu, có khi vội quá quên check về tới nhà mở ra tức không muốn nói, gọi hỏi nhân viên thì nhân viên trả lời ngang ngược. Rất tệ !!!",1,0
"Quá ngon",5,0
"Đồ ăn ở đây ngon, nhưng không gian quán hơi bé và đợi món hơi lâu",4,0
"Muốn ăn 1 miệng gà thì ta phải giành 30-45 phút để chờ đợi ( trong khi quy đinh KFC thì nó chỉ mất 20phút )",1,0
"Gà giòn ngon. Quán sạch đẹp. Nhân viên thân thiện. Chờ món hơn 20 p.",4,0
"Vẫn như ngày nào, ok. Chỉ có điều không gian khá nhỏ, và chờ khá lâu",4,0
"👍 …",5,0
"Quán sạch đẹp, phục vụ nhanh nhẹn chuyên nghiệp. Đồ ăn ngon, giá hợp lý",4,0
"chị su Thanh Nhi dthw xĩu, train rất nhiệt tình~~~~",5,0
"Mặc dù tối muộn mà anh chị vẫn phục vụ tận tình!!!",5,0
"Rất ngon và tboangs mát",5,0
"Ngon tuyệt",5,0
"Đồ ăn ngon nhma chờ hơi lâu",4,0
"Gà ngon nha, nhân viên thân thiện",5,0
"nhân viên chậm, để khách hàng đợi chờ, không thối tiền cho khách.",1,0
"Ngon, phục vụ nhanh nhẹn. Không gian hơi nhỏ.",5,0
"Tuỵttt🥰",5,0
"👍👍👍",5,0
"Đồ ăn ngon miệng",5,0
"Quá ok",5,0
"Ăn ngon, không gian tốt",5,0
"Nv dễ thương",5,0
"Bố trí cửa hông để giao hàng cho shiper rất hay, nên nhân rộng.",4,0
"Cũng là KFC nhưng gà ở đây ngon hơn chỗ khác.",5,0
"Ngon tuyệt",5,0
"Mua hàng mang đi  chờ khá lâu",3,0
"KFC nay có thêm món mới. Gà giòn sốt cay rất ngon",5,0
"Ngon",5,0
"Gà đúng vị của KFC",5,0
"chị ú ú deth vãi íii",5,0
"phục vụ tốt, nhân viên lịch sự",5,0
"Quan rat la ok",5,0
"Mới mở, sạch sẽ và phục vụ nhanh nhẹn",5,0
